Time,export_amt,import_amt
2007.01,28092561,27560101
2007.02,26225125,25406152
2007.03,30385840,29295460
2007.04,29944456,29596882
2007.05,31039901,29856937
2007.06,32000109,28508098
2007.07,30207444,29223201
2007.08,30998134,29642050
2007.09,29323535,27193582
2007.1,34433813,32741232
2007.11,35807893,33926124
2007.12,33030276,33895915
2008.01,32274575,36318030
2008.02,31178190,32624334
2008.03,35991776,37110561
2008.04,37850247,38260401
2008.05,39383158,38704468
2008.06,37258608,37827931
2008.07,40961223,42952491
2008.08,36610603,40420447
2008.09,37428303,39528073
2008.1,37111140,36098774
2008.11,28841617,28853646
2008.12,27117889,26575580
2009.01,21133405,24898821
2009.02,25397150,22598094
2009.03,27890831,23920622
2009.04,30326509,24873845
2009.05,27823839,23407033
2009.06,32210048,25689293
2009.07,31908462,27679764
2009.08,28949627,27408191
2009.09,33922429,29757140
2009.1,33970032,30396532
2009.11,33991607,29534690
2009.12,36009623,32920497
2010.01,30735415,31535995
2010.02,33039402,31044126
2010.03,37308940,35575754
2010.04,39301014,35522367
2010.05,38887930,34853570
2010.06,42049045,35254773
2010.07,40423611,35421718
2010.08,36480955,35274964
2010.09,39410882,35001780
2010.1,43340335,37001095
2010.11,41260912,38669304
2010.12,44145320,40056714
2011.01,44465366,41981323
2011.02,38467412,36401588
2011.03,48052991,45565952
2011.04,48536725,44188522
2011.05,47331329,45284932
2011.06,46736893,44824772
2011.07,48950113,44296129
2011.08,45792061,45381680
2011.09,46510965,45279469
2011.1,46613480,42709770
2011.11,46012595,43010481
2011.12,47743725,45488471
2012.01,41200358,43517291
2012.02,46316184,45099984
2012.03,47329817,45053406
2012.04,46094754,43957176
2012.05,46872357,44480339
2012.06,47162605,41993629
2012.07,44667681,41976900
2012.08,43045181,41115675
2012.09,45412538,42559535
2012.1,47087760,43379893
2012.11,47805246,43381537
2012.12,44875311,43069109
2013.01,45673109,45296942
2013.02,42331837,40458472
2013.03,47312704,43976739
2013.04,46157925,43648241
2013.05,48307560,42389874
2013.06,46690983,40719394
2013.07,45829521,43384403
2013.08,46311341,41593821
2013.09,44650486,41055405
2013.1,50480484,45604963
2013.11,47905028,43106074
2013.12,47981456,44351186
2014.01,45559632,44746013
2014.02,42911735,42061554
2014.03,49064392,45558675
2014.04,50267448,45873333
2014.05,47577183,42607483
2014.06,47827709,42476381
2014.07,48204545,45863916
2014.08,46108370,42791869
2014.09,47446217,44184712
2014.1,51630657,44097421
2014.11,46605342,41343254
2014.12,49461377,43909896
